id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13333422,Mountain Views in the heart of West Asheville,75476230,Jennifer,,28806,35.57314,-82.57685,Entire home/apt,70,2,75,2019-02-10,2.35,1,360
13340576,"Spacious, Garden Suite w/ Private Porch",12585232,George,,28806,35.59681,-82.61579,Entire home/apt,85,1,128,2019-01-23,3.97,1,87
13345957,Master bedroom in a quiet neighborhood,75624183,Kim,,28806,35.60372,-82.61136,Private room,60,2,57,2018-11-11,1.82,3,0
13348419,Charming Asheville Cottage at Beaver Lake,57640272,Ellen,,28804,35.63376,-82.56682,Entire home/apt,130,2,48,2018-11-11,1.50,1,179
13355384,"Large 2 bed loft in W. Avl, bring the whole family",1872084,Linda And Rafael,,28806,35.58185,-82.59845,Entire home/apt,165,2,106,2019-01-30,3.32,2,66
13359588,Cozy room with En Suite bathroom,75624183,Kim,,28806,35.60321,-82.61004,Private room,60,2,64,2018-11-11,1.97,3,99
13373427,Studio in the Trees - 2 miles to Biltmore Estate,3018614,Ada,,28805,35.58462,-82.53433,Entire home/apt,98,2,141,2019-01-20,4.42,2,339
13386987,"Studio 54: Private cottage, 30-day",1335315,Lindsay,,28803,35.55028,-82.53307,Entire home/apt,70,30,101,2018-12-07,3.14,1,179
13388627,Downton Annie Apartment # Three,32054468,Jeremy,,28801,35.59359,-82.55949,Entire home/apt,201,3,28,2018-12-25,0.87,4,354
13426466,Asheville Studio w/ Sleeping Loft - Walk Downtown!,76545940,Hilary,,28801,35.60098,-82.56173,Entire home/apt,125,2,31,2018-09-02,0.96,2,80
13429035,Asheville Cottage With All the Comforts of Home,19333726,Sue,,28704,35.47946,-82.51432,Entire home/apt,160,3,16,2018-10-29,0.50,1,364
13452018,"Chateau St. Michelle, live the Asheville life.",10654807,Michelle,,28801,35.61122,-82.55986,Entire home/apt,95,1,74,2018-11-17,2.85,2,349
13459342,New Modern Minimal House Near Biltmore Park,76918725,Alexander,,28704,35.47273,-82.55692,Entire home/apt,225,2,0,,,1,0
13479400,"2 BR, 1 BA home in hip West Asheville",67061733,Judson,,28806,35.57345,-82.58165,Entire home/apt,119,2,35,2017-10-29,1.08,1,0
13502253,The Room at Deer Crossing,67509318,Cindy,,28704,35.45598,-82.5655,Private room,70,2,78,2019-01-04,2.46,1,52
13514183,Downton Annie Apt # Two Unrestricted Style Reborn,32054468,Jeremy,,28801,35.59516,-82.56152,Entire home/apt,201,3,23,2019-01-21,0.75,4,361
13524286,Explore the Arts District from a Century Building Apartment,32054468,Jeremy,,28801,35.59345,-82.56149,Entire home/apt,201,3,26,2019-01-21,0.80,4,365
13533084,"Quiet Rancher, Less Than 1 mi. to Town!",25820180,Robertino,,28801,35.60908,-82.55939,Entire home/apt,170,3,15,2018-10-14,0.48,1,13
